75,75,,*MANUAL*,40,1333,71,179.00,105.51,36.63,1337,141065
76,76,,*MANUAL*,39,1317,82,177.00,97.14,24.63,1341,130268
77,77,,*MANUAL*,41,1341,80,158.00,100.67,25.80,1359,136817
78,78,,*MANUAL*,45,1340,93,180.00,103.88,31.50,1333,138474
79,79,,*MANUAL*,42,1330,87,221.00,123.38,35.82,1291,159280
80,80,,*MANUAL*,46,1318,92,185.00,106.98,33.29,1365,146028
81,81,,*MANUAL*,45,1300,91,189.00,98.68,41.12,1365,134703
82,82,,*MANUAL*,63,1289,104,186.00,91.64,35.89,1365,125091
83,83,,*MANUAL*,64,1304,98,249.00,165.08,36.66,511,84357
84,84,,*MANUAL*,58,1305,98,242.00,168.72,32.30,690,116416
85,85,,*MANUAL*,53,1327,100,227.00,124.81,48.80,1331,166125
86,86,,*MANUAL*,56,1346,100,193.00,98.63,40.32,1355,133643
87,87,,*MANUAL*,60,1317,99,218.00,140.60,40.67,1196,168160
88,88,,*MANUAL*,69,1323,97,242.00,114.66,51.13,1354,155252
89,89,,*MANUAL*,64,1336,98,233.00,132.33,45.17,1245,164747
90,90,,*MANUAL*,72,1341,98,238.00,115.40,54.34,1365,157525
91,91,,*MANUAL*,54,1588,53,100.00,37.30,23.99,2103,78449
92,92,,*MANUAL*,59,1537,47,160.00,64.80,34.91,2100,136074
93,93,,*MANUAL*,64,1518,49,156.00,73.65,35.01,1993,146782
94,94,,*MANUAL*,54,1503,47,170.00,70.68,40.35,2077,146796
95,95,,*MANUAL*,53,1479,48,183.00,108.31,33.17,1149,124449
96,96,,*MANUAL*,53,1455,48,161.00,92.73,30.41,1201,111373
97,97,,*MANUAL*,65,1494,48,196.00,103.24,37.67,1349,139267
98,98,,*MANUAL*,65,1471,47,197.00,116.40,34.81,1102,128269
99,99,,*MANUAL*,59,1476,42,162.00,74.85,40.20,1365,102174
100,100,,*MANUAL*,60,1429,42,161.00,63.29,27.94,2094,132527
101,101,,*MANUAL*,61,1401,39,169.00,83.27,33.11,2103,175119
102,102,,*MANUAL*,61,1368,38,171.00,84.97,35.13,2103,178687
103,103,,*MANUAL*,60,1337,36,163.00,47.08,24.44,2103,99008
104,104,,*MANUAL*,60,1251,35,146.00,47.71,28.70,2949,140705
105,105,,*MANUAL*,55,1588,90,113.00,39.08,27.52,2103,82190
106,106,,*MANUAL*,60,1557,95,131.00,51.38,29.31,2103,108057
107,107,,*MANUAL*,58,1528,96,143.00,64.85,32.46,1363,88387
108,108,,*MANUAL*,63,1515,98,136.00,53.60,33.96,2103,112724
109,109,,*MANUAL*,56,1496,99,161.00,82.33,33.31,1220,100444
110,110,,*MANUAL*,65,1485,99,153.00,74.56,35.88,1121,83587
111,111,,*MANUAL*,66,1462,99,197.00,116.34,35.29,1280,148915
112,112,,*MANUAL*,66,1440,97,194.00,103.20,42.24,1333,137562
113,113,,*MANUAL*,55,1470,100,173.00,80.84,44.03,1365,110342
114,114,,*MANUAL*,58,1448,98,218.00,120.63,40.44,1028,124004
115,115,,*MANUAL*,62,1491,105,145.00,46.22,29.40,2103,97202
116,116,,*MANUAL*,63,1420,97,142.00,72.21,28.65,1655,119506
117,117,,*MANUAL*,64,1360,107,143.00,41.00,25.64,2969,121727
118,118,,*MANUAL*,62,1323,107,171.00,47.50,31.02,2103,99892
119,119,,*MANUAL*,58,1326,65,165.00,97.81,27.51,1365,133515
120,120,,*MANUAL*,53,1330,87,228.00,121.85,46.52,1365,166319
121,121,,*MANUAL*,70,1331,83,245.00,130.84,55.48,1365,178599
122,122,,*MANUAL*,61,1351,57,227.00,126.11,42.05,1365,172145
123,123,,*MANUAL*,74,1355,83,219.00,115.60,45.60,1365,157791
124,124,,*MANUAL*,50,1357,87,192.00,106.31,38.43,1364,145006
125,125,,*MANUAL*,62,1364,50,243.00,157.76,37.30,965,152234
126,126,,*MANUAL*,53,1365,54,196.00,110.57,30.87,1365,150933
127,127,,*MANUAL*,70,1365,53,203.00,112.91,36.58,1365,154118
128,128,,*MANUAL*,49,1366,74,166.00,87.76,33.03,1365,119799
129,129,,*MANUAL*,73,1369,70,179.00,100.13,37.98,1230,123160
130,130,,*MANUAL*,60,1376,91,159.00,89.24,28.15,821,73265
131,131,,*MANUAL*,70,1372,92,174.00,103.32,30.27,895,92472
132,132,,*MANUAL*,55,1379,80,188.00,105.86,34.54,1351,143023
133,133,,*MANUAL*,68,1382,78,214.00,96.43,47.79,1365,131622
134,134,,*MANUAL*,67,1391,53,222.00,129.92,49.34,845,109786
135,135,,*MANUAL*,62,1383,52,238.00,131.76,49.23,1191,156929
136,136,,*MANUAL*,51,1394,71,199.00,101.70,39.43,1287,130892
137,137,,*MANUAL*,51,1393,82,224.00,131.19,36.78,1365,179068
138,138,,*MANUAL*,73,1398,70,238.00,124.59,53.65,1349,168068
139,139,,*MANUAL*,73,1395,81,241.00,139.68,46.11,1235,172508
140,140,,*MANUAL*,64,1396,89,195.00,85.35,37.50,2103,179484
141,141,,*MANUAL*,54,1389,58,202.00,86.94,25.36,2103,182825
142,142,,*MANUAL*,71,1386,59,229.00,89.01,47.13,2103,187189
143,143,,*MANUAL*,70,1416,76,169.00,91.23,33.89,1365,124527
144,144,,*MANUAL*,53,1418,79,164.00,84.44,32.51,1365,115264
145,145,,*MANUAL*,63,1423,53,139.00,55.59,28.53,1365,75878
146,146,,*MANUAL*,58,1543,58,101.00,44.71,24.32,1365,61025
147,147,,*MANUAL*,58,1511,57,142.00,57.03,33.33,2103,119944
148,148,,*MANUAL*,58,1491,57,148.00,71.85,33.50,1365,98071
149,149,,*MANUAL*,60,1463,55,161.00,96.48,28.63,1127,108729
150,150,,*MANUAL*,50,1547,84,122.00,59.11,22.40,1365,80683
151,151,,*MANUAL*,50,1525,83,152.00,80.89,29.08,1365,110412
152,152,,*MANUAL*,49,1511,84,153.00,61.05,37.36,2103,128394
153,153,,*MANUAL*,48,1482,83,168.00,81.81,33.79,1098,89827
154,154,,*MANUAL*,50,1452,82,141.00,67.49,27.34,1365,92120
155,155,,*MANUAL*,68,1551,80,132.00,57.32,27.00,1365,78246
156,156,,*MANUAL*,69,1527,82,183.00,88.10,40.36,1292,113826
157,157,,*MANUAL*,69,1515,81,200.00,90.39,45.68,1365,123384
158,158,,*MANUAL*,69,1491,82,190.00,92.64,36.29,1167,108106
159,159,,*MANUAL*,70,1462,80,149.00,70.43,32.38,1365,96137
160,160,,*MANUAL*,72,1438,74,127.00,58.86,23.77,2097,123429
161,161,,*MANUAL*,66,1480,86,158.00,54.87,19.31,1833,100579
162,162,,*MANUAL*,55,1473,85,155.00,68.86,24.01,2081,143288
163,163,,*MANUAL*,52,1433,72,121.00,62.85,24.22,1365,85786
